22:57:41.185 INFO   - GraphicsScene::resetOnLoad itemsBefore=4 itemsAfter=4
22:57:41.185 INFO   - MainWindow::loadCurveListFromCmdMediator
22:57:41.185 INFO   - Document::curvesGraphsNames
22:57:41.185 INFO   - CoordSystemContext::curvesGraphsNames
22:57:41.186 INFO   - MainWindow::loadCoordSystemListFromCmdMediator
22:57:41.186 INFO   - Document::coordSystemCount
22:57:41.186 INFO   - MainWindow::updateViewsOfSettings
22:57:41.186 INFO   - ViewPointStyle::unsetPointStyle
22:57:41.186 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
22:57:41.186 INFO   - BackgroundStateContext::setCurveSelected curve=Curve1
22:57:41.186 INFO   - BackgroundStateCurve::setCurveSelected curve=Curve1
22:57:41.186 INFO   - BackgroundStateCurve::processImageFromSavedInputs
22:57:41.188 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
22:57:41.188 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
22:57:41.419 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
22:57:41.419 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(756x432)
22:57:41.420 INFO   - BackgroundStateNone::setCurveSelected
22:57:41.420 INFO   - BackgroundStateOriginal::setCurveSelected
22:57:41.420 INFO   - BackgroundStateUnloaded::setCurveSelected
22:57:41.420 INFO   - BackgroundStateContext::setBackgroundImage background=Original
22:57:41.420 INFO   - BackgroundStateContext::requestStateTransition
22:57:41.420 INFO   - BackgroundStateContext::completeRequestedStateTransitionIfExists
22:57:41.420 INFO   - MainWindow::slotViewZoom
22:57:41.420 INFO   - MainWindow::slotViewZoomFactor
22:57:41.420 INFO   - StatusBar::slotZoom zoom=12
22:57:41.420 INFO   - MainWindow::setCurrentFile
22:57:41.420 INFO   - MainWindow::updateWindowTitle
22:57:41.428 INFO   - MainWindow::saveStartingDocumentSnapshot
22:57:41.693 INFO   - CoordSystemContext::saveXml
22:57:41.693 INFO   - DocumentModelGeneral::saveXml
22:57:41.693 INFO   - DocumentModelCoords::saveXml
22:57:41.693 INFO   - DocumentModelDigitizeCurve::saveXml
22:57:41.694 INFO   - DocumentModelExportFormat::saveXml
22:57:41.694 INFO   - DocumentModelAxesChecker::saveXml
22:57:41.694 INFO   - DocumentModelGridDisplay::saveXml
22:57:41.694 INFO   - DocumentModelGridRemoval::saveXml
22:57:41.694 INFO   - DocumentModelPointMatch::saveXml
22:57:41.694 INFO   - DocumentModelSegments::saveXml
22:57:41.694 INFO   - Curve::saveXml
22:57:41.695 INFO   - ColorFilterSettings::saveXml
22:57:41.695 INFO   - CurveStyle::saveXml
22:57:41.695 INFO   - LineStyle::saveXml
22:57:41.695 INFO   - PointStyle::saveXml
22:57:41.695 INFO   - CurvesGraphs::saveXml
22:57:41.695 INFO   - Curve::saveXml
22:57:41.695 INFO   - ColorFilterSettings::saveXml
22:57:41.695 INFO   - CurveStyle::saveXml
22:57:41.695 INFO   - LineStyle::saveXml
22:57:41.695 INFO   - PointStyle::saveXml
22:57:41.695 INFO   - MainWindow::updateAfterCommand
